,timestamp,open,high,low,close,volume,trades,quote_av,tb_base_av,tb_quote_av,ignore,close_SMA_2,close_SMA_3,close_SMA_4,close_BBANDS_1,close_LINEARREG_SLOPE_2,close_LINEARREG_SLOPE_3,close_LINEARREG_SLOPE_4,close_STDDEV_3,close_STDDEV_4,close_RSI_3,close_RSI_5,close_MACD_1,close_ATR_3,close_ATR_5,close_STOCH_1,close_EMA_3,close_EMA_4,close_CCI_3,close_CCI_4,close_OBV_1
ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_SMA_2,0.7682976716067652,0.9999944130290207,0.9999896851352749,0.999985850309038,0.9999873036520984,-0.05148729839342414,0.3017117066348398,0.29253219576631695,-0.05413622887874556,0.2876726917322982,,1.0,1.0,1.0,0.9999873036520984,0.005126726474753921,0.005126726474753921,0.005126726474753921,0.5144757632129323,0.5144757632129323,0.0010973216724517263,0.0010973216724517263,0.9999873036520984,0.6512117773009888,0.6512117773009888,0.9999873036520984,0.9999989673662218,0.9999989673662218,-0.006708483727127157,-0.006708483727127157,0.9999873036520984
close_SMA_3,0.7682976716067652,0.9999944130290207,0.9999896851352749,0.999985850309038,0.9999873036520984,-0.05148729839342414,0.3017117066348398,0.29253219576631695,-0.05413622887874556,0.2876726917322982,,1.0,1.0,1.0,0.9999873036520984,0.005126726474753921,0.005126726474753921,0.005126726474753921,0.5144757632129323,0.5144757632129323,0.0010973216724517263,0.0010973216724517263,0.9999873036520984,0.6512117773009888,0.6512117773009888,0.9999873036520984,0.9999989673662218,0.9999989673662218,-0.006708483727127157,-0.006708483727127157,0.9999873036520984
close_SMA_4,0.7682976716067652,0.9999944130290207,0.9999896851352749,0.999985850309038,0.9999873036520984,-0.05148729839342414,0.3017117066348398,0.29253219576631695,-0.05413622887874556,0.2876726917322982,,1.0,1.0,1.0,0.9999873036520984,0.005126726474753921,0.005126726474753921,0.005126726474753921,0.5144757632129323,0.5144757632129323,0.0010973216724517263,0.0010973216724517263,0.9999873036520984,0.6512117773009888,0.6512117773009888,0.9999873036520984,0.9999989673662218,0.9999989673662218,-0.006708483727127157,-0.006708483727127157,0.9999873036520984
close_BBANDS_1,0.7682951409144501,0.9999852303175779,0.9999913048270903,0.9999906012402157,1.0,-0.05160487544097565,0.3015778742249933,0.2923558704896998,-0.054017727220463725,0.28787283161610383,,0.9999873036520984,0.9999873036520984,0.9999873036520984,1.0,0.009727611605064223,0.009727611605064223,0.009727611605064223,0.5143290744799219,0.5143290744799219,0.0038873204873156528,0.0038873204873156528,1.0,0.6511111936020331,0.6511111936020331,1.0,0.9999919386312738,0.9999919386312738,-0.003942899544477783,-0.003942899544477783,1.0
close_LINEARREG_SLOPE_2,0.004337205459146303,0.006994119889725343,0.008249100527315006,0.008956508927123123,0.009727611605064223,-0.02760215956443844,-0.02892478054521499,-0.03822731394705008,0.008892175840735036,0.02020286604966688,,0.005126726474753921,0.005126726474753921,0.005126726474753921,0.009727611605064223,1.0,1.0,1.0,-0.030389989057600465,-0.030389989057600465,0.5491385718499115,0.5491385718499115,0.00972761160506423,-0.02406754817811579,-0.02406754817811579,0.00972761160506423,0.006180999514833537,0.006180999514833537,0.52762355583977,0.52762355583977,0.00972761160506423
close_LINEARREG_SLOPE_3,0.004337205459146303,0.006994119889725343,0.008249100527315006,0.008956508927123123,0.009727611605064223,-0.02760215956443844,-0.02892478054521499,-0.03822731394705008,0.008892175840735036,0.02020286604966688,,0.005126726474753921,0.005126726474753921,0.005126726474753921,0.009727611605064223,1.0,1.0,1.0,-0.030389989057600465,-0.030389989057600465,0.5491385718499115,0.5491385718499115,0.00972761160506423,-0.02406754817811579,-0.02406754817811579,0.00972761160506423,0.006180999514833537,0.006180999514833537,0.52762355583977,0.52762355583977,0.00972761160506423
close_LINEARREG_SLOPE_4,0.004337205459146303,0.006994119889725343,0.008249100527315006,0.008956508927123123,0.009727611605064223,-0.02760215956443844,-0.02892478054521499,-0.03822731394705008,0.008892175840735036,0.02020286604966688,,0.005126726474753921,0.005126726474753921,0.005126726474753921,0.009727611605064223,1.0,1.0,1.0,-0.030389989057600465,-0.030389989057600465,0.5491385718499115,0.5491385718499115,0.00972761160506423,-0.02406754817811579,-0.02406754817811579,0.00972761160506423,0.006180999514833537,0.006180999514833537,0.52762355583977,0.52762355583977,0.00972761160506423
close_STDDEV_3,0.2862306786012724,0.5144052642950474,0.5163823467797084,0.5121467672603287,0.5143290744799219,0.2491137919290375,0.4217278140884178,0.5724155761329335,0.2427908008974032,0.5623970663598205,,0.5144757632129323,0.5144757632129323,0.5144757632129323,0.5143290744799219,-0.030389989057600465,-0.030389989057600465,-0.030389989057600465,1.0,1.0,-0.02473111478964855,-0.02473111478964855,0.514329074479922,0.8337604755201978,0.8337604755201978,0.514329074479922,0.514506735939682,0.514506735939682,-0.008003531284321857,-0.008003531284321857,0.514329074479922
close_STDDEV_4,0.2862306786012724,0.5144052642950474,0.5163823467797084,0.5121467672603287,0.5143290744799219,0.2491137919290375,0.4217278140884178,0.5724155761329335,0.2427908008974032,0.5623970663598205,,0.5144757632129323,0.5144757632129323,0.5144757632129323,0.5143290744799219,-0.030389989057600465,-0.030389989057600465,-0.030389989057600465,1.0,1.0,-0.02473111478964855,-0.02473111478964855,0.514329074479922,0.8337604755201978,0.8337604755201978,0.514329074479922,0.514506735939682,0.514506735939682,-0.008003531284321857,-0.008003531284321857,0.514329074479922
close_RSI_3,-0.006379455804777547,0.0017438360969515912,0.0028053719287513992,0.0031889469532099396,0.0038873204873156528,-0.015808147591302498,-0.014866838320150356,-0.012734568876928731,0.025510866924771274,0.030969653562583136,,0.0010973216724517263,0.0010973216724517263,0.0010973216724517263,0.0038873204873156528,0.5491385718499115,0.5491385718499115,0.5491385718499115,-0.02473111478964855,-0.02473111478964855,1.0,1.0,0.0038873204873156627,-0.028551770127856733,-0.028551770127856733,0.0038873204873156627,0.001435085168015295,0.001435085168015295,0.7287730290932438,0.7287730290932438,0.0038873204873156627
close_RSI_5,-0.006379455804777547,0.0017438360969515912,0.0028053719287513992,0.0031889469532099396,0.0038873204873156528,-0.015808147591302498,-0.014866838320150356,-0.012734568876928731,0.025510866924771274,0.030969653562583136,,0.0010973216724517263,0.0010973216724517263,0.0010973216724517263,0.0038873204873156528,0.5491385718499115,0.5491385718499115,0.5491385718499115,-0.02473111478964855,-0.02473111478964855,1.0,1.0,0.0038873204873156627,-0.028551770127856733,-0.028551770127856733,0.0038873204873156627,0.001435085168015295,0.001435085168015295,0.7287730290932438,0.7287730290932438,0.0038873204873156627
close_MACD_1,0.7682951409144501,0.9999852303175779,0.9999913048270903,0.9999906012402157,1.0,-0.05160487544097565,0.3015778742249933,0.2923558704896998,-0.054017727220463725,0.28787283161610383,,0.9999873036520984,0.9999873036520984,0.9999873036520984,1.0,0.00972761160506423,0.00972761160506423,0.00972761160506423,0.514329074479922,0.514329074479922,0.0038873204873156627,0.0038873204873156627,1.0,0.6511111936020331,0.6511111936020331,1.0,0.9999919386312738,0.9999919386312738,-0.003942899544477783,-0.003942899544477783,1.0
close_ATR_3,0.35380093989200734,0.6511250916666214,0.6529530097547641,0.6490918700284412,0.6511111936020331,0.17948875507605141,0.3912441967856224,0.5280355688036455,0.1733633075352732,0.517335132691452,,0.6512117773009888,0.6512117773009888,0.6512117773009888,0.6511111936020331,-0.02406754817811579,-0.02406754817811579,-0.02406754817811579,0.8337604755201978,0.8337604755201978,-0.028551770127856733,-0.028551770127856733,0.6511111936020331,1.0,1.0,0.6511111936020331,0.6512495080979317,0.6512495080979317,-0.00796374195651299,-0.00796374195651299,0.6511111936020331
close_ATR_5,0.35380093989200734,0.6511250916666214,0.6529530097547641,0.6490918700284412,0.6511111936020331,0.17948875507605141,0.3912441967856224,0.5280355688036455,0.1733633075352732,0.517335132691452,,0.6512117773009888,0.6512117773009888,0.6512117773009888,0.6511111936020331,-0.02406754817811579,-0.02406754817811579,-0.02406754817811579,0.8337604755201978,0.8337604755201978,-0.028551770127856733,-0.028551770127856733,0.6511111936020331,1.0,1.0,0.6511111936020331,0.6512495080979317,0.6512495080979317,-0.00796374195651299,-0.00796374195651299,0.6511111936020331
close_STOCH_1,0.7682951409144501,0.9999852303175779,0.9999913048270903,0.9999906012402157,1.0,-0.05160487544097565,0.3015778742249933,0.2923558704896998,-0.054017727220463725,0.28787283161610383,,0.9999873036520984,0.9999873036520984,0.9999873036520984,1.0,0.00972761160506423,0.00972761160506423,0.00972761160506423,0.514329074479922,0.514329074479922,0.0038873204873156627,0.0038873204873156627,1.0,0.6511111936020331,0.6511111936020331,1.0,0.9999919386312738,0.9999919386312738,-0.003942899544477783,-0.003942899544477783,1.0
close_EMA_3,0.7683009806802247,0.999994629527839,0.9999922475502219,0.9999886590599877,0.9999919386312738,-0.05150024933667802,0.30169849663312104,0.2925139949533712,-0.05410465683723225,0.28772571219365556,,0.9999989673662218,0.9999989673662218,0.9999989673662218,0.9999919386312738,0.006180999514833537,0.006180999514833537,0.006180999514833537,0.514506735939682,0.514506735939682,0.001435085168015295,0.001435085168015295,0.9999919386312738,0.6512495080979317,0.6512495080979317,0.9999919386312738,1.0,1.0,-0.006085757494797291,-0.006085757494797291,0.9999919386312736
close_EMA_4,0.7683009806802247,0.999994629527839,0.9999922475502219,0.9999886590599877,0.9999919386312738,-0.05150024933667802,0.30169849663312104,0.2925139949533712,-0.05410465683723225,0.28772571219365556,,0.9999989673662218,0.9999989673662218,0.9999989673662218,0.9999919386312738,0.006180999514833537,0.006180999514833537,0.006180999514833537,0.514506735939682,0.514506735939682,0.001435085168015295,0.001435085168015295,0.9999919386312738,0.6512495080979317,0.6512495080979317,0.9999919386312738,1.0,1.0,-0.006085757494797291,-0.006085757494797291,0.9999919386312736
close_CCI_3,-0.00930377200554063,-0.006072890036508788,-0.004823556057878392,-0.004586365600736823,-0.003942899544477783,-0.013896766473309815,-0.015025069732236851,-0.013811417260538332,0.024048263230461046,0.026681509024901427,,-0.006708483727127157,-0.006708483727127157,-0.006708483727127157,-0.003942899544477783,0.52762355583977,0.52762355583977,0.52762355583977,-0.008003531284321857,-0.008003531284321857,0.7287730290932438,0.7287730290932438,-0.003942899544477783,-0.00796374195651299,-0.00796374195651299,-0.003942899544477783,-0.006085757494797291,-0.006085757494797291,1.0,1.0,-0.003942899544477777
close_CCI_4,-0.00930377200554063,-0.006072890036508788,-0.004823556057878392,-0.004586365600736823,-0.003942899544477783,-0.013896766473309815,-0.015025069732236851,-0.013811417260538332,0.024048263230461046,0.026681509024901427,,-0.006708483727127157,-0.006708483727127157,-0.006708483727127157,-0.003942899544477783,0.52762355583977,0.52762355583977,0.52762355583977,-0.008003531284321857,-0.008003531284321857,0.7287730290932438,0.7287730290932438,-0.003942899544477783,-0.00796374195651299,-0.00796374195651299,-0.003942899544477783,-0.006085757494797291,-0.006085757494797291,1.0,1.0,-0.003942899544477777
close_OBV_1,0.7682951409144501,0.9999852303175779,0.9999913048270903,0.9999906012402157,1.0,-0.05160487544097565,0.3015778742249933,0.2923558704896998,-0.054017727220463725,0.28787283161610383,,0.9999873036520984,0.9999873036520984,0.9999873036520984,1.0,0.00972761160506423,0.00972761160506423,0.00972761160506423,0.514329074479922,0.514329074479922,0.0038873204873156627,0.0038873204873156627,1.0,0.6511111936020331,0.6511111936020331,1.0,0.9999919386312736,0.9999919386312736,-0.003942899544477777,-0.003942899544477777,1.0
